transaction_id,customer_id,customer_name,customer_region,customer_stated_risk,bank_id,bank_name,compliance_score,amount,txn_date,location,flag_large_amount,flag_high_frequency_customer,flag_high_risk_location,flag_low_compliance_bank,sanctions_flag,behavioural_score,fraud_score,severity,requires_analyst_review
571,207,Nathan Green,North,Medium,254,Bank 254,0.75,9851.24,2024-02-20,Clementsfurt,1,0,1,0,1,2,3,High,1
618,855,Michael Hunt,North,Low,543,Bank 543,0.56,9829.68,2024-08-10,South Kennethtown,1,0,0,1,1,2,3,High,1
66,750,Melinda Pope,East,Medium,880,Bank 880,0.96,9815.99,2023-12-20,East Diana,1,0,1,0,1,2,3,High,1
696,580,Jeff Munoz,West,Low,538,Bank 538,0.97,9753.09,2024-06-19,Robinhaven,1,0,1,0,1,2,3,High,1
436,391,Jonathan Spencer,North,High,103,Bank 103,0.97,9751.56,2024-11-03,New Brandonton,1,0,1,0,1,2,3,High,1
534,462,Timothy Andrews,East,High,1006,Bank 1006,0.5,9750.32,2023-12-22,West Kenneth,1,0,0,1,1,2,3,High,1
658,388,Michael Thompson,North,Medium,467,Bank 467,0.5,9746.91,2024-02-16,South Dianeport,1,0,0,1,1,2,3,High,1
839,558,Amy Patel,West,High,79,Bank 79,0.56,9730.33,2024-03-25,East Stephaniebury,1,0,0,1,1,2,3,High,1
329,405,Travis Hill,South,High,214,Bank 214,0.86,9663.3,2024-06-26,North Jessicaberg,1,0,1,0,1,2,3,High,1
734,45,Nicholas Mccarthy,West,High,58,Bank 58,0.66,9662.49,2024-03-08,Hickmanport,1,0,1,0,1,2,3,High,1
459,381,Amanda Newman,East,Low,136,Bank 136,0.67,9583.48,2024-11-05,West Jamesside,1,0,1,0,1,2,3,High,1
561,498,Brian Thompson,South,Low,137,Bank 137,0.81,9534.8,2024-06-14,Port Destinyside,1,0,1,0,1,2,3,High,1
919,966,Christopher Palmer,North,Low,704,Bank 704,0.92,9529.77,2024-05-18,East Johnfurt,1,0,1,0,1,2,3,High,1
316,56,Joseph Vincent,South,Low,237,Bank 237,0.88,9515.56,2024-04-18,South Jesse,1,0,1,0,1,2,3,High,1
367,708,Lisa Black,West,High,845,Bank 845,0.53,9514.35,2024-09-30,Port Nicoleton,1,0,0,1,1,2,3,High,1
229,941,Gabriela Davis,South,High,588,Bank 588,0.85,9505.54,2024-09-19,Browntown,1,0,1,0,1,2,3,High,1
128,143,Mark Taylor,East,Medium,441,Bank 441,0.57,9480.34,2024-10-06,Lake Ashley,1,0,0,1,1,2,3,High,1
750,595,Sherry Brown,West,Low,314,Bank 314,1.0,9443.32,2024-06-27,Matthewton,1,0,1,0,1,2,3,High,1
640,888,Shaun Howard,East,Medium,320,Bank 320,0.9,9434.14,2023-12-07,South Peter,1,0,1,0,1,2,3,High,1
835,81,Cynthia Christensen,West,Low,425,Bank 425,0.87,9420.27,2024-06-26,Port Robert,1,0,1,0,1,2,3,High,1
699,303,Jeffery Tran,North,High,935,Bank 935,0.86,9376.8,2024-07-27,Rosschester,1,0,1,0,1,2,3,High,1
53,147,Amanda Gill,South,Low,988,Bank 988,0.97,9322.58,2023-12-12,Lake Ronaldbury,1,0,1,0,1,2,3,High,1
953,154,Nancy Flowers,North,Medium,754,Bank 754,0.78,9308.24,2024-04-21,West Spencer,1,0,1,0,1,2,3,High,1
649,149,Timothy Fox,South,Low,244,Bank 244,0.73,9294.44,2024-07-16,East Bridgetview,1,0,1,0,1,2,3,High,1
74,613,Katelyn Farrell,East,Low,953,Bank 953,0.91,9265.02,2023-12-19,New Courtney,1,0,1,0,1,2,3,High,1
753,500,Dawn Parrish,North,High,675,Bank 675,0.97,9240.92,2023-12-27,Crystalfurt,1,0,1,0,1,2,3,High,1
712,561,Stacy Smith,East,High,464,Bank 464,0.93,9228.75,2024-04-10,Scottton,1,0,1,0,1,2,3,High,1
957,400,Mary Brewer,South,Low,279,Bank 279,0.93,9209.03,2024-09-20,Greenside,1,1,1,0,0,3,3,High,1
431,350,Linda Taylor,North,Low,230,Bank 230,0.56,9190.51,2024-07-13,Schmidtmouth,1,0,0,1,1,2,3,High,1
101,150,Benjamin Robinson DVM,East,Medium,793,Bank 793,0.82,9183.25,2024-02-25,South Alexa,1,0,1,0,1,2,3,High,1
523,71,John Preston,South,Medium,240,Bank 240,0.73,9138.89,2024-04-14,New Jonathanmouth,1,0,1,0,1,2,3,High,1
578,207,Nathan Green,North,Medium,385,Bank 385,0.86,9118.16,2023-11-23,Stacybury,1,0,1,0,1,2,3,High,1
339,929,Roger Larson,East,Low,439,Bank 439,0.59,9104.47,2024-05-29,Michelleland,1,0,0,1,1,2,3,High,1
185,481,Jenna Payne,North,Low,713,Bank 713,0.94,9104.14,2024-02-21,Goodwinfurt,1,0,1,0,1,2,3,High,1
624,370,Tyrone Peters,South,Low,207,Bank 207,0.89,9045.09,2024-01-04,Haneyshire,1,0,1,0,1,2,3,High,1
122,196,Cristina Goodwin,North,High,684,Bank 684,0.62,9020.73,2024-11-04,Pamelamouth,1,0,1,0,1,2,3,High,1
775,372,Michael Arnold,North,Medium,715,Bank 715,0.79,9017.49,2024-05-31,Juliestad,1,0,1,0,1,2,3,High,1
165,625,Lindsey Clark,West,Medium,230,Bank 230,0.56,8845.4,2024-06-17,South Ryan,0,0,1,1,1,2,3,High,1
626,803,Karen Carter,South,Medium,615,Bank 615,0.52,8829.18,2024-01-31,South Elizabethborough,0,0,1,1,1,2,3,High,1
616,115,Amanda Webb,West,High,694,Bank 694,0.56,8806.59,2024-03-12,Laurenmouth,0,0,1,1,1,2,3,High,1
903,14,April Brown,South,Low,852,Bank 852,0.53,8724.29,2023-11-23,Shelbyshire,0,0,1,1,1,2,3,High,1
361,683,John Carney,East,Medium,453,Bank 453,0.59,8674.97,2024-05-05,Myersmouth,0,0,1,1,1,2,3,High,1
666,385,Patricia Schwartz,East,High,168,Bank 168,0.53,8594.71,2024-08-13,Port Dianeborough,0,0,1,1,1,2,3,High,1
154,809,Melissa Carroll,South,High,751,Bank 751,0.5,8457.56,2024-10-31,Holtberg,0,0,1,1,1,2,3,High,1
34,599,Stephanie Miller,South,Low,166,Bank 166,0.54,8244.88,2024-05-15,Lake Kim,0,0,1,1,1,2,3,High,1
595,861,Robert Alexander,East,Low,470,Bank 470,0.56,7733.22,2024-08-19,Philliphaven,0,0,1,1,1,2,3,High,1
76,319,Shelia Carroll,North,High,330,Bank 330,0.54,7633.46,2024-02-10,New Nicholas,0,0,1,1,1,2,3,High,1
580,917,James Clark,South,High,809,Bank 809,0.59,7548.75,2024-09-05,Barajasville,0,0,1,1,1,2,3,High,1
804,694,Jeffrey Harding,South,Low,330,Bank 330,0.54,7431.94,2024-05-12,Lindsayland,0,0,1,1,1,2,3,High,1
533,343,Christopher Anderson,North,Medium,369,Bank 369,0.71,7388.8,2023-11-24,Bradfordfurt,0,1,1,0,1,2,3,High,1
242,177,Kimberly Martin,South,Low,875,Bank 875,0.58,7309.8,2023-12-26,Brandonland,0,0,1,1,1,2,3,High,1
183,784,Jessica Rubio,East,High,807,Bank 807,0.86,7294.25,2024-04-05,Forbesmouth,0,1,1,0,1,2,3,High,1
662,754,Jessica Farmer,East,High,530,Bank 530,0.5,7283.99,2024-09-10,Stephanieton,0,0,1,1,1,2,3,High,1
321,866,Michelle Gray,West,Medium,575,Bank 575,0.55,7262.49,2024-06-22,South Candace,0,0,1,1,1,2,3,High,1
171,442,Paul Owens,West,High,875,Bank 875,0.58,7084.1,2024-01-18,East Emilyview,0,0,1,1,1,2,3,High,1
287,301,Timothy Contreras,North,Medium,974,Bank 974,0.72,7056.83,2024-03-07,Port Lesliefurt,0,1,1,0,1,2,3,High,1
846,784,Jessica Rubio,East,High,343,Bank 343,0.79,6969.96,2024-09-06,South Adrian,0,1,1,0,1,2,3,High,1
295,484,Jason Young,East,Medium,533,Bank 533,0.52,6888.92,2024-08-24,Lake Jorgefurt,0,0,1,1,1,2,3,High,1
200,224,Jonathan Collins,North,High,854,Bank 854,0.52,6821.33,2024-03-05,Port Michele,0,0,1,1,1,2,3,High,1
6,252,Sarah Odom,West,Medium,740,Bank 740,0.82,6815.88,2024-04-15,Valerieton,0,1,1,0,1,2,3,High,1
96,611,Sharon Crawford,East,Low,812,Bank 812,0.94,6738.35,2024-10-28,Julianbury,0,1,1,0,1,2,3,High,1
337,343,Christopher Anderson,North,Medium,189,Bank 189,0.86,6413.72,2023-12-28,Lake Davidhaven,0,1,1,0,1,2,3,High,1
75,268,Ryan Fox,South,High,316,Bank 316,0.57,6210.56,2023-12-14,Port Shane,0,1,0,1,1,2,3,High,1
916,187,Linda Robinson,West,High,18,Bank 18,0.57,6137.93,2024-01-19,Lake Johnmouth,0,0,1,1,1,2,3,High,1
95,252,Sarah Odom,West,Medium,519,Bank 519,0.82,5938.74,2024-01-23,North Kristen,0,1,1,0,1,2,3,High,1
136,549,Stacy Parker,North,Medium,74,Bank 74,0.55,5899.61,2024-04-09,New Yeseniaville,0,0,1,1,1,2,3,High,1
593,769,Mary Ross,East,Medium,122,Bank 122,0.55,5868.06,2024-04-06,Stevensonstad,0,0,1,1,1,2,3,High,1
83,9,James Lopez,East,Medium,537,Bank 537,0.55,5831.24,2024-08-02,Baileyport,0,0,1,1,1,2,3,High,1
738,771,Jennifer Jimenez,West,Medium,121,Bank 121,0.9,5734.31,2024-10-03,East Jared,0,1,1,0,1,2,3,High,1
508,555,Nathan Garza,North,Low,858,Bank 858,0.56,5600.47,2024-02-02,Denisestad,0,0,1,1,1,2,3,High,1
569,771,Jennifer Jimenez,West,Medium,649,Bank 649,0.65,5545.83,2024-04-21,South Jonathan,0,1,1,0,1,2,3,High,1
304,965,Margaret Gomez,West,High,278,Bank 278,0.57,5483.55,2024-06-19,Taylorberg,0,0,1,1,1,2,3,High,1
694,196,Cristina Goodwin,North,High,72,Bank 72,0.55,5463.56,2024-09-15,Dianestad,0,0,1,1,1,2,3,High,1
292,126,Justin Bryant,West,Low,395,Bank 395,0.55,5438.63,2024-09-30,Williamsborough,0,0,1,1,1,2,3,High,1
563,594,Samantha Morgan,South,Medium,288,Bank 288,0.55,5050.63,2023-12-15,North Brittany,0,0,1,1,1,2,3,High,1
747,64,Tina Farmer,West,Medium,42,Bank 42,0.51,4907.27,2023-12-24,Lake Amy,0,0,1,1,1,2,3,High,1
743,153,Karen Yang,West,Low,330,Bank 330,0.54,4897.25,2024-09-08,Timothystad,0,0,1,1,1,2,3,High,1
59,323,John Crane,South,Medium,147,Bank 147,0.59,4873.85,2024-10-08,South Charles,0,0,1,1,1,2,3,High,1
243,639,Matthew Martinez,East,Low,508,Bank 508,0.54,4805.8,2024-08-05,Joeshire,0,0,1,1,1,2,3,High,1
510,347,Sandra Douglas,South,Medium,342,Bank 342,0.55,4713.35,2024-10-10,Guerrerotown,0,0,1,1,1,2,3,High,1
798,286,Kevin Martin,West,Low,278,Bank 278,0.57,4247.92,2024-07-09,Zacharyport,0,0,1,1,1,2,3,High,1
50,830,Christopher Brown,South,Medium,232,Bank 232,0.53,4156.85,2024-10-03,West Hectorside,0,0,1,1,1,2,3,High,1
412,611,Sharon Crawford,East,Low,699,Bank 699,0.66,4150.01,2024-07-10,Monroehaven,0,1,1,0,1,2,3,High,1
168,626,Deborah Harris,East,Low,1003,Bank 1003,0.59,4136.61,2024-07-02,Port Johnmouth,0,0,1,1,1,2,3,High,1
159,120,Melinda Rodriguez,East,Low,654,Bank 654,0.58,4025.26,2024-04-29,New Cristian,0,0,1,1,1,2,3,High,1
486,692,Brittany Sanchez DDS,North,Low,790,Bank 790,0.57,3884.58,2024-06-08,Conwaymouth,0,0,1,1,1,2,3,High,1
554,160,Sylvia Hess DVM,East,Low,700,Bank 700,0.59,3828.55,2024-10-26,Port Mariochester,0,0,1,1,1,2,3,High,1
102,85,Randy Campbell,East,Low,950,Bank 950,0.52,3786.84,2024-05-01,Port Clinton,0,0,1,1,1,2,3,High,1
907,231,Lauren Miller,West,High,97,Bank 97,0.59,3729.47,2024-09-14,Jacksonport,0,0,1,1,1,2,3,High,1
464,19,Rebekah Alexander,West,Low,527,Bank 527,0.59,3668.41,2023-12-05,South Jose,0,0,1,1,1,2,3,High,1
478,68,Anthony Nunez,West,Medium,918,Bank 918,0.52,3637.41,2023-12-16,Chadland,0,0,1,1,1,2,3,High,1
1000,247,Rachel Sims,North,Low,313,Bank 313,0.75,3488.39,2024-01-18,East Robertburgh,0,1,1,0,1,2,3,High,1
832,246,Stephen Vega,West,Medium,72,Bank 72,0.55,3371.53,2024-11-05,Lake Caitlin,0,0,1,1,1,2,3,High,1
863,561,Stacy Smith,East,High,614,Bank 614,0.53,3337.21,2024-06-17,Tamaramouth,0,0,1,1,1,2,3,High,1
93,955,Rachel Bell,South,Low,201,Bank 201,0.95,3331.77,2024-11-19,Garzafurt,0,1,1,0,1,2,3,High,1
174,457,Amanda Smith,South,Low,546,Bank 546,0.54,3302.83,2024-10-08,Hillside,0,0,1,1,1,2,3,High,1
396,119,Joanna Johns,South,Medium,518,Bank 518,0.58,3114.5,2024-02-25,Lake Crystal,0,0,1,1,1,2,3,High,1
139,671,Alyssa Quinn,East,High,309,Bank 309,0.51,2862.95,2024-09-02,New Michael,0,0,1,1,1,2,3,High,1
774,621,David Williamson,North,High,776,Bank 776,0.54,2861.55,2024-03-21,Lake Abigail,0,0,1,1,1,2,3,High,1
813,857,Jeffrey Anderson,West,Medium,238,Bank 238,0.5,2708.88,2024-06-19,Wesleystad,0,0,1,1,1,2,3,High,1
795,252,Sarah Odom,West,Medium,681,Bank 681,0.86,2658.78,2024-09-06,North Timothyshire,0,1,1,0,1,2,3,High,1
967,404,Richard Cordova,East,High,746,Bank 746,0.53,2618.9,2024-02-18,North John,0,0,1,1,1,2,3,High,1
301,439,Laura Fisher,South,Low,790,Bank 790,0.57,2480.82,2024-11-02,Nathanport,0,0,1,1,1,2,3,High,1
680,784,Jessica Rubio,East,High,978,Bank 978,0.97,2383.42,2023-12-20,West Ryantown,0,1,1,0,1,2,3,High,1
751,145,Dylan Simpson,North,High,910,Bank 910,0.52,2280.84,2023-12-16,East Jeffreyport,0,0,1,1,1,2,3,High,1
830,467,Stanley Rowe,South,Medium,822,Bank 822,0.53,2126.21,2024-05-24,Reyesfort,0,0,1,1,1,2,3,High,1
55,786,Deborah Reyes,East,High,885,Bank 885,0.7,2108.26,2024-10-25,Hillland,0,1,1,0,1,2,3,High,1
675,817,Evan Campbell,West,Low,18,Bank 18,0.57,2078.07,2024-07-12,New Carolbury,0,0,1,1,1,2,3,High,1
62,79,Linda Simpson,North,Medium,537,Bank 537,0.55,1885.15,2024-08-16,New Jack,0,0,1,1,1,2,3,High,1
152,174,Anthony Taylor,South,Medium,134,Bank 134,0.59,1884.82,2024-11-18,Kimton,0,0,1,1,1,2,3,High,1
895,755,Debbie Parrish DDS,South,Medium,546,Bank 546,0.54,1825.81,2024-05-19,Armstrongfurt,0,0,1,1,1,2,3,High,1
251,707,Sarah Walker,West,Low,196,Bank 196,0.58,1822.57,2024-01-27,South Breannafurt,0,0,1,1,1,2,3,High,1
988,211,Maria Fowler,East,High,584,Bank 584,0.5,1816.67,2024-08-05,Lake Kevin,0,0,1,1,1,2,3,High,1
342,424,Bobby Franklin,West,High,555,Bank 555,0.53,1810.19,2024-08-19,Billyland,0,0,1,1,1,2,3,High,1
220,268,Ryan Fox,South,High,554,Bank 554,0.67,1806.41,2024-04-11,Haleyville,0,1,1,0,1,2,3,High,1
298,747,Karen Hernandez,East,High,787,Bank 787,0.54,1804.21,2024-07-09,West Ryan,0,0,1,1,1,2,3,High,1
689,551,Carol Berg,West,Medium,351,Bank 351,0.5,1633.7,2024-02-09,North Kevin,0,0,1,1,1,2,3,High,1
362,75,David Lopez,East,Low,546,Bank 546,0.54,1225.22,2024-02-23,East Shaneberg,0,0,1,1,1,2,3,High,1
558,185,Ashley Bauer,North,High,108,Bank 108,0.5,1211.27,2024-10-09,New Joseph,0,0,1,1,1,2,3,High,1
494,307,Diana Alvarez,North,Medium,669,Bank 669,0.58,1105.99,2024-09-02,Lake Steven,0,0,1,1,1,2,3,High,1
702,888,Shaun Howard,East,Medium,639,Bank 639,0.58,1081.23,2023-12-22,East Sonia,0,0,1,1,1,2,3,High,1
39,987,Denise Maldonado,West,Medium,98,Bank 98,0.51,972.24,2024-02-29,Rodgersport,0,0,1,1,1,2,3,High,1
121,343,Christopher Anderson,North,Medium,1003,Bank 1003,0.59,903.03,2024-11-07,Mariamouth,0,1,0,1,1,2,3,High,1
854,988,James Johnson,East,Medium,848,Bank 848,0.58,694.14,2024-11-09,Port Mirandaside,0,0,1,1,1,2,3,High,1
439,407,Steven Griffith,West,High,671,Bank 671,0.54,578.19,2024-08-11,Andrewsfort,0,0,1,1,1,2,3,High,1
160,822,William Thompson,South,Medium,955,Bank 955,0.54,251.09,2024-11-07,Matthewville,0,0,1,1,1,2,3,High,1
938,9,James Lopez,East,Medium,508,Bank 508,0.54,40.42,2024-11-18,Livingstonburgh,0,0,1,1,1,2,3,High,1
332,369,Lauren Johnson,West,Low,17,Bank 17,0.93,9988.13,2024-06-17,Carlosmouth,1,0,0,0,1,1,2,Medium,0
319,222,John Ware,East,Low,697,Bank 697,0.61,9964.43,2024-04-10,South Wesleyberg,1,0,0,0,1,1,2,Medium,0
843,209,Alejandra Butler,East,Low,182,Bank 182,0.55,9954.31,2024-05-08,New Katietown,1,0,0,1,0,2,2,Medium,0
962,785,Curtis Davis,North,Low,501,Bank 501,0.95,9921.79,2024-09-09,East Brendashire,1,0,0,0,1,1,2,Medium,0
881,658,Jordan Carr,South,High,308,Bank 308,0.99,9912.62,2024-08-20,Darrenborough,1,0,0,0,1,1,2,Medium,0
913,801,Sara Hines,West,High,1009,Bank 1009,0.71,9880.61,2024-09-08,Smithfort,1,0,0,0,1,1,2,Medium,0
821,95,Amy Bates,East,Medium,930,Bank 930,0.74,9856.99,2024-02-07,Manningchester,1,0,0,0,1,1,2,Medium,0
271,961,Christopher Miller,East,High,944,Bank 944,0.76,9821.71,2024-03-12,Jacksontown,1,0,0,0,1,1,2,Medium,0
603,421,Jessica Hart,West,Medium,383,Bank 383,0.77,9815.7,2024-11-17,Devinfurt,1,0,0,0,1,1,2,Medium,0
100,552,Jerry Martinez,East,High,697,Bank 697,0.61,9805.83,2023-12-04,Harrisontown,1,0,0,0,1,1,2,Medium,0
958,507,Craig Wilkins,East,High,622,Bank 622,0.92,9798.69,2024-05-31,West Rayport,1,0,0,0,1,1,2,Medium,0
802,391,Jonathan Spencer,North,High,434,Bank 434,0.65,9763.79,2024-09-10,North Robertfort,1,0,1,0,0,2,2,Medium,0
106,173,Debbie Clay,North,High,750,Bank 750,0.63,9735.81,2023-11-23,Solischester,1,0,0,0,1,1,2,Medium,0
530,391,Jonathan Spencer,North,High,1000,Bank 1000,0.96,9679.24,2024-04-01,Blackburgh,1,0,1,0,0,2,2,Medium,0
456,843,Pedro Schwartz,West,High,195,Bank 195,0.81,9673.62,2024-08-26,West Christy,1,0,0,0,1,1,2,Medium,0
996,580,Jeff Munoz,West,Low,270,Bank 270,0.64,9657.76,2023-12-25,Port Nicoleville,1,0,0,0,1,1,2,Medium,0
428,707,Sarah Walker,West,Low,132,Bank 132,0.85,9652.95,2023-12-22,Rebeccamouth,1,0,0,0,1,1,2,Medium,0
537,501,Travis Galloway,South,Medium,867,Bank 867,0.57,9636.4,2024-10-09,South Anthonyhaven,1,0,0,1,0,2,2,Medium,0
149,93,Jeff Thomas,West,Low,680,Bank 680,0.95,9593.95,2024-11-05,Jamesshire,1,0,0,0,1,1,2,Medium,0
944,311,James King,West,Medium,973,Bank 973,0.8,9571.68,2024-09-04,East Ryan,1,0,0,0,1,1,2,Medium,0
933,953,John Mcdaniel,West,Medium,760,Bank 760,0.71,9532.44,2024-09-29,Allenmouth,1,0,0,0,1,1,2,Medium,0
335,344,Sylvia Perez,North,Low,685,Bank 685,0.96,9525.79,2024-08-13,Johnnyville,1,0,0,0,1,1,2,Medium,0
737,729,Marcia Bruce,South,Medium,25,Bank 25,0.63,9501.07,2024-04-10,Adamfurt,1,0,0,0,1,1,2,Medium,0
546,492,April Ray,North,Medium,233,Bank 233,0.78,9482.81,2024-03-28,New Teresatown,1,0,0,0,1,1,2,Medium,0
284,525,Brittany Wagner,South,High,235,Bank 235,0.79,9476.66,2024-02-18,Robinsonland,1,0,0,0,1,1,2,Medium,0
545,780,Tanner Weaver,North,Low,808,Bank 808,0.92,9452.52,2024-08-28,South Thomasstad,1,0,0,0,1,1,2,Medium,0
469,849,Sarah Mccarty,West,Low,93,Bank 93,0.79,9442.85,2024-01-10,Katherinetown,1,0,0,0,1,1,2,Medium,0
520,394,Dawn Lopez,East,Medium,173,Bank 173,0.78,9432.86,2024-02-15,North Philip,1,0,0,0,1,1,2,Medium,0
542,999,Katelyn Vasquez,North,High,408,Bank 408,0.73,9429.64,2024-09-11,Schultzbury,1,0,1,0,0,2,2,Medium,0
131,616,Charles Martinez,East,High,843,Bank 843,0.95,9411.5,2024-01-30,Walkerstad,1,0,0,0,1,1,2,Medium,0
965,649,Ashley Wise,South,Medium,590,Bank 590,0.78,9411.22,2024-02-04,New Kyleberg,1,0,0,0,1,1,2,Medium,0
219,881,Alyssa Roberts,South,Medium,324,Bank 324,0.71,9397.79,2024-05-18,Freemanhaven,1,0,0,0,1,1,2,Medium,0
570,94,David Baker,West,Low,215,Bank 215,0.94,9394.08,2024-05-28,Oscarstad,1,0,1,0,0,2,2,Medium,0
735,108,Robert Bryant,North,High,457,Bank 457,0.98,9337.53,2024-09-22,Lake David,1,0,1,0,0,2,2,Medium,0
143,356,Dakota Burton,South,High,58,Bank 58,0.66,9319.83,2024-10-25,Fosterville,1,0,0,0,1,1,2,Medium,0
814,718,Christopher Baxter,North,Medium,608,Bank 608,0.76,9300.06,2024-04-19,Scottview,1,0,0,0,1,1,2,Medium,0
899,326,Maria Martin,South,Low,725,Bank 725,0.83,9293.79,2024-05-16,New John,1,0,0,0,1,1,2,Medium,0
390,523,Thomas Hernandez,North,High,180,Bank 180,0.72,9261.44,2024-05-16,North Joshuastad,1,0,0,0,1,1,2,Medium,0
837,164,Scott Fernandez,West,Low,903,Bank 903,0.76,9203.33,2024-11-05,Danielton,1,0,0,0,1,1,2,Medium,0
197,394,Dawn Lopez,East,Medium,107,Bank 107,0.6,9172.74,2024-04-11,Nicholasland,1,0,0,0,1,1,2,Medium,0
588,153,Karen Yang,West,Low,992,Bank 992,0.91,9016.89,2024-07-31,Samanthabury,1,0,0,0,1,1,2,Medium,0
674,100,Christopher Holt,West,Low,441,Bank 441,0.57,8986.67,2024-02-17,Lake Ethanstad,0,0,1,1,0,2,2,Medium,0
822,597,Michael Dunn,East,High,433,Bank 433,0.84,8986.3,2024-04-26,Joshuabury,0,0,1,0,1,1,2,Medium,0
966,174,Anthony Taylor,South,Medium,682,Bank 682,0.82,8957.62,2024-08-19,Pamelafort,0,0,1,0,1,1,2,Medium,0
642,454,Alexis Conway,West,High,925,Bank 925,0.87,8919.97,2024-08-31,Jenniferfurt,0,0,1,0,1,1,2,Medium,0
622,82,Christine Lopez,North,Medium,9,"Brown, Lawrence and Chaney",0.62,8910.06,2024-06-18,Loriburgh,0,0,1,0,1,1,2,Medium,0
926,296,Stacy Mccoy,North,Medium,753,Bank 753,0.81,8881.09,2024-06-29,Danielhaven,0,0,1,0,1,1,2,Medium,0
365,517,Timothy Murphy,West,Medium,627,Bank 627,0.59,8868.4,2024-05-12,Carterland,0,0,0,1,1,1,2,Medium,0
213,956,Samantha Stanton,South,Medium,939,Bank 939,0.55,8857.61,2024-10-22,Patriciaport,0,0,0,1,1,1,2,Medium,0
992,474,Alyssa Black,East,High,536,Bank 536,0.99,8795.33,2023-12-20,Quinnshire,0,0,1,0,1,1,2,Medium,0
211,980,Taylor Gaines,West,Low,111,Bank 111,0.68,8721.51,2023-12-11,West Faith,0,0,1,0,1,1,2,Medium,0
179,294,Jill Lynch,North,High,49,Bank 49,0.89,8710.94,2024-09-21,Scottbury,0,0,1,0,1,1,2,Medium,0
805,153,Karen Yang,West,Low,379,Bank 379,0.84,8706.3,2024-05-20,New James,0,0,1,0,1,1,2,Medium,0
602,162,Bryan Galloway,East,Medium,278,Bank 278,0.57,8705.3,2024-11-12,Parkermouth,0,0,0,1,1,1,2,Medium,0
585,663,Anthony Johnston,East,High,613,Bank 613,0.74,8685.31,2024-11-18,New Amyshire,0,0,1,0,1,1,2,Medium,0
124,268,Ryan Fox,South,High,254,Bank 254,0.75,8579.15,2024-08-25,West Amandaborough,0,1,0,0,1,1,2,Medium,0
275,429,Matthew Patel,South,Medium,433,Bank 433,0.84,8542.36,2024-08-02,East Barbaramouth,0,0,1,0,1,1,2,Medium,0
979,907,Jeremiah Russell,West,Medium,874,Bank 874,0.77,8529.58,2024-03-08,West Justinchester,0,0,1,0,1,1,2,Medium,0
