customer_id,name,region,stated_risk_level,txn_frequency,avg_txn_amount,total_txn_amount,max_txn_amount,high_risk_txn_count,large_txn_count,sanction_count,first_txn_date,last_txn_date
57,Dr. Natalie Hernandez,East,Low,1,3548.93,3548.93,3548.93,1,0,1,2024-04-20,2024-04-20
58,Jennifer Bell,West,Low,0,,0.0,,0,0,0,,
59,Rachel Avila,West,High,1,6010.86,6010.86,6010.86,1,0,1,2024-01-01,2024-01-01
60,Heather Parrish,West,Low,1,2136.09,2136.09,2136.09,0,0,1,2024-05-12,2024-05-12
61,George Smith,West,Medium,0,,0.0,,0,0,0,,
62,Stephanie Sanders,West,High,1,467.73,467.73,467.73,0,0,0,2024-06-21,2024-06-21
63,Andrew Harris,West,Low,0,,0.0,,0,0,2,,
64,Tina Farmer,West,Medium,1,4907.27,4907.27,4907.27,1,0,1,2023-12-24,2023-12-24
65,Christopher Coleman,North,Low,0,,0.0,,0,0,3,,
66,Robert Sosa,East,Low,2,4641.93,9283.87,5844.37,1,0,0,2024-01-01,2024-09-27
67,Jessica Moyer,South,Medium,3,1396.78,4190.34,2719.25,1,0,1,2024-01-23,2024-06-28
68,Anthony Nunez,West,Medium,2,3408.07,6816.14,3637.41,1,0,1,2023-12-11,2023-12-16
69,Christopher Morton,West,Medium,0,,0.0,,0,0,2,,
70,Kathleen Larson,North,Medium,0,,0.0,,0,0,0,,
71,John Preston,South,Medium,1,9138.89,9138.89,9138.89,1,1,2,2024-04-14,2024-04-14
72,Bradley Lewis,North,Low,3,7216.26,21648.77,7964.62,2,0,2,2024-03-17,2024-05-29
73,Kathleen Baker,West,Low,0,,0.0,,0,0,1,,
74,Lauren Torres,South,Medium,1,4176.01,4176.01,4176.01,1,0,0,2024-08-15,2024-08-15
75,David Lopez,East,Low,2,4078.45,8156.89,6931.67,1,0,2,2024-02-23,2024-03-06
76,Chelsea Bradley,West,Medium,1,5108.84,5108.84,5108.84,1,0,1,2024-11-04,2024-11-04
77,Elizabeth Davidson,South,Low,1,6801.69,6801.69,6801.69,0,0,2,2024-10-24,2024-10-24
78,Michael Young,South,High,0,,0.0,,0,0,0,,
79,Linda Simpson,North,Medium,3,2648.34,7945.02,3956.41,2,0,1,2024-02-18,2024-08-16
80,Eddie Brown,North,High,0,,0.0,,0,0,0,,
81,Cynthia Christensen,West,Low,2,8858.98,17717.96,9420.27,1,1,1,2024-01-02,2024-06-26
82,Christine Lopez,North,Medium,1,8910.06,8910.06,8910.06,1,0,2,2024-06-18,2024-06-18
83,Daniel Kim,South,Medium,1,8267.66,8267.66,8267.66,0,0,1,2024-01-04,2024-01-04
84,Jennifer Hanson,East,Medium,0,,0.0,,0,0,2,,
85,Randy Campbell,East,Low,1,3786.84,3786.84,3786.84,1,0,2,2024-05-01,2024-05-01
86,Brandon Christensen,North,Low,0,,0.0,,0,0,0,,
87,Ann Mccann,South,High,1,1529.63,1529.63,1529.63,1,0,3,2024-06-21,2024-06-21
88,Denise Pierce,North,Low,1,4131.0,4131.0,4131.0,0,0,0,2024-04-23,2024-04-23
89,Christina Cross,South,Low,3,2650.59,7951.76,4909.12,1,0,0,2024-02-26,2024-07-26
90,Isaiah Cooper,West,High,0,,0.0,,0,0,0,,
91,Tina Murray,North,High,0,,0.0,,0,0,1,,
92,David Krause,West,High,0,,0.0,,0,0,2,,
93,Jeff Thomas,West,Low,2,5617.35,11234.7,9593.95,0,1,1,2024-07-14,2024-11-05
94,David Baker,West,Low,1,9394.08,9394.08,9394.08,1,1,0,2024-05-28,2024-05-28
95,Amy Bates,East,Medium,3,4953.2,14859.61,9856.99,2,1,0,2024-01-19,2024-08-31
96,Tonya Harrison,North,Low,0,,0.0,,0,0,1,,
97,Linda Johnson,East,High,1,224.51,224.51,224.51,0,0,2,2024-09-10,2024-09-10
98,Luis Williamson,South,Medium,0,,0.0,,0,0,2,,
99,Bradley Scott,East,Medium,2,2184.34,4368.69,2723.7,1,0,1,2024-04-15,2024-08-25
100,Christopher Holt,West,Low,2,5821.19,11642.39,8986.67,1,0,0,2024-02-17,2024-06-30
101,Kenneth Patel,South,Medium,0,,0.0,,0,0,1,,
102,Emily Whitney,West,Low,2,3332.01,6664.02,6382.45,2,0,0,2024-04-24,2024-09-03
103,Felicia Johnson,North,High,0,,0.0,,0,0,4,,
104,Stephanie Castro,East,Low,0,,0.0,,0,0,1,,
105,Jennifer Williams,West,Medium,0,,0.0,,0,0,1,,
106,Glenn Gill,West,High,0,,0.0,,0,0,1,,
107,Anna Sutton,East,Low,1,3894.03,3894.03,3894.03,1,0,0,2024-01-07,2024-01-07
108,Robert Bryant,North,High,2,8619.75,17239.49,9337.53,1,1,0,2024-08-14,2024-09-22
109,Angela Garner,East,Low,1,5939.23,5939.23,5939.23,0,0,0,2024-02-28,2024-02-28
110,Kyle Blevins,North,High,0,,0.0,,0,0,1,,
111,Scott Allison,South,Low,0,,0.0,,0,0,0,,
112,Hector Hayden,East,High,0,,0.0,,0,0,1,,
113,Steven Hansen PhD,East,Low,1,5553.1,5553.1,5553.1,1,0,2,2023-11-28,2023-11-28
114,Marissa Foster,North,Medium,0,,0.0,,0,0,0,,
115,Amanda Webb,West,High,2,5560.06,11120.11,8806.59,2,0,1,2024-03-12,2024-04-05
116,Christopher Turner,East,Low,0,,0.0,,0,0,2,,
117,Yolanda Hardy,West,High,1,1472.6,1472.6,1472.6,1,0,1,2024-10-05,2024-10-05
118,Amanda Walker,East,Medium,1,9383.67,9383.67,9383.67,0,1,0,2024-07-31,2024-07-31
119,Joanna Johns,South,Medium,2,3845.29,7690.58,4576.08,2,0,1,2024-02-25,2024-09-30
120,Melinda Rodriguez,East,Low,3,5988.15,17964.44,8034.61,2,0,0,2024-03-30,2024-05-20
121,Lance Hebert,East,High,0,,0.0,,0,0,1,,
122,Angel Harper,East,Low,1,9387.23,9387.23,9387.23,1,1,0,2023-12-22,2023-12-22
123,Philip Underwood,North,High,0,,0.0,,0,0,1,,
124,Marcia Fisher,East,Low,0,,0.0,,0,0,1,,
125,Edwin Cabrera,East,High,0,,0.0,,0,0,0,,
126,Justin Bryant,West,Low,1,5438.63,5438.63,5438.63,1,0,2,2024-09-30,2024-09-30
127,Gina Rios,North,Medium,2,4818.65,9637.3,4988.87,1,0,0,2023-12-12,2024-02-25
128,Angela Mcpherson,East,High,0,,0.0,,0,0,1,,
129,Megan Wilson,West,High,0,,0.0,,0,0,2,,
130,Jesse Mckinney,East,High,2,1764.97,3529.94,2965.15,2,0,1,2024-04-16,2024-05-03
131,Robert Rogers,West,High,0,,0.0,,0,0,0,,
132,Cheryl Gillespie,East,High,1,2721.97,2721.97,2721.97,0,0,1,2023-12-14,2023-12-14
133,Anna Sanders MD,North,Medium,1,1808.53,1808.53,1808.53,0,0,2,2023-11-24,2023-11-24
134,Michele Freeman DVM,West,High,1,3790.68,3790.68,3790.68,0,0,1,2024-01-05,2024-01-05
135,Logan Wilson,West,Medium,0,,0.0,,0,0,1,,
136,Raven Rogers,East,Medium,2,2750.07,5500.14,5139.22,1,0,1,2023-12-12,2024-07-07
137,Christopher Jackson,West,High,1,2230.82,2230.82,2230.82,1,0,2,2024-08-09,2024-08-09
138,Kyle Collins,East,Low,0,,0.0,,0,0,2,,
139,Ronald Duncan,South,Low,2,2936.72,5873.44,5452.55,0,0,1,2024-06-19,2024-08-09
140,Kevin Larson,West,Low,1,6809.58,6809.58,6809.58,0,0,0,2024-06-12,2024-06-12
141,Mary Jordan,West,Low,1,4063.65,4063.65,4063.65,1,0,1,2024-10-14,2024-10-14
142,Billy Lee,North,Medium,2,3769.74,7539.48,3992.58,1,0,1,2024-04-02,2024-06-19
143,Mark Taylor,East,Medium,3,8439.97,25319.9,9480.34,1,2,1,2023-11-23,2024-10-06
144,Douglas Moss,South,High,0,,0.0,,0,0,0,,
145,Dylan Simpson,North,High,3,3647.17,10941.52,8411.99,1,0,0,2023-12-16,2024-06-26
146,Kaitlyn Adams,South,Medium,1,1571.33,1571.33,1571.33,1,0,3,2024-09-21,2024-09-21
147,Amanda Gill,South,Low,1,9322.58,9322.58,9322.58,1,1,0,2023-12-12,2023-12-12
148,Susan Martin,East,Medium,0,,0.0,,0,0,1,,
149,Timothy Fox,South,Low,2,5297.61,10595.22,9294.44,2,1,2,2024-07-08,2024-07-16
150,Benjamin Robinson DVM,East,Medium,1,9183.25,9183.25,9183.25,1,1,2,2024-02-25,2024-02-25
151,Cory Collins,East,High,2,4905.84,9811.67,9509.48,2,1,3,2024-02-17,2024-09-15
152,Robert Jackson,North,High,1,582.94,582.94,582.94,0,0,0,2024-08-19,2024-08-19
153,Karen Yang,West,Low,3,7540.15,22620.44,9016.89,2,1,1,2024-05-20,2024-09-08
154,Nancy Flowers,North,Medium,1,9308.24,9308.24,9308.24,1,1,1,2024-04-21,2024-04-21
155,Christopher Anderson,North,Low,2,4764.46,9528.92,5205.17,1,0,1,2024-06-26,2024-08-22
156,Steven Hunt,North,Medium,2,997.3,1994.61,1980.24,1,0,1,2024-05-03,2024-05-30
157,Dr. John Gonzalez Jr.,North,High,0,,0.0,,0,0,1,,
158,Shannon Allen,North,Low,2,6393.84,12787.68,7536.55,1,0,0,2024-06-06,2024-08-05
159,Jeffrey Lawson,East,High,1,9831.19,9831.19,9831.19,0,1,0,2024-05-13,2024-05-13
160,Sylvia Hess DVM,East,Low,3,5505.93,16517.8,7065.13,3,0,2,2024-01-30,2024-10-26
161,Timothy Moore,South,Medium,1,7020.76,7020.76,7020.76,1,0,3,2024-08-02,2024-08-02
162,Bryan Galloway,East,Medium,2,7557.1,15114.21,8705.3,1,0,3,2024-07-29,2024-11-12
163,Gina Wallace,North,Low,0,,0.0,,0,0,1,,
164,Scott Fernandez,West,Low,1,9203.33,9203.33,9203.33,0,1,0,2024-11-05,2024-11-05
165,Dawn Alexander,East,Low,0,,0.0,,0,0,1,,
166,Maria Griffith,West,High,0,,0.0,,0,0,0,,
167,Joshua Wolf,North,Low,2,4364.52,8729.05,6089.18,2,0,0,2024-01-30,2024-11-08
168,Christina Miller,North,Medium,0,,0.0,,0,0,0,,
169,Nathan Velasquez,East,Medium,3,4259.86,12779.59,7767.43,2,0,2,2024-01-22,2024-11-19
170,Michelle Alvarado,North,Low,1,2084.02,2084.02,2084.02,0,0,0,2024-03-19,2024-03-19
171,Alice Whitney,North,Low,1,3579.57,3579.57,3579.57,0,0,1,2024-07-22,2024-07-22
172,Michael Kelly,North,High,0,,0.0,,0,0,0,,
173,Debbie Clay,North,High,1,9735.81,9735.81,9735.81,0,1,0,2023-11-23,2023-11-23
174,Anthony Taylor,South,Medium,2,5421.22,10842.44,8957.62,2,0,0,2024-08-19,2024-11-18
175,Anthony Gonzales,South,Low,3,2710.72,8132.17,4553.08,1,0,4,2024-01-31,2024-10-13
176,Julie Walker,West,High,2,4309.09,8618.18,7954.56,2,0,0,2024-02-05,2024-07-15
177,Kimberly Martin,South,Low,2,6886.9,13773.79,7309.8,1,0,1,2023-12-26,2024-07-09
178,Tamara Castro,North,High,3,1987.24,5961.71,3463.89,1,0,2,2023-12-06,2024-07-01
179,John Bell,South,High,0,,0.0,,0,0,0,,
180,Jeffrey Kemp,North,Low,0,,0.0,,0,0,0,,
181,Jacob Patton,East,Low,0,,0.0,,0,0,3,,
182,Vickie Scott,North,Low,1,3084.57,3084.57,3084.57,1,0,1,2024-07-24,2024-07-24
183,Daisy Miranda,South,Low,0,,0.0,,0,0,2,,
184,John Keller,West,Low,0,,0.0,,0,0,0,,
185,Ashley Bauer,North,High,2,3171.24,6342.49,5131.22,1,0,0,2024-01-31,2024-10-09
186,Sandra Fleming,South,Medium,0,,0.0,,0,0,1,,
187,Linda Robinson,West,High,2,5788.55,11577.09,6137.93,2,0,0,2024-01-19,2024-10-21
188,Michelle Stone,West,High,0,,0.0,,0,0,0,,
189,Donna Hicks,East,High,1,3272.73,3272.73,3272.73,1,0,0,2024-05-05,2024-05-05
190,Gina Lopez,West,High,2,1698.87,3397.73,2147.56,2,0,1,2024-03-24,2024-09-21
191,Mr. Justin Taylor,South,High,1,5402.23,5402.23,5402.23,0,0,1,2024-04-26,2024-04-26
192,Derrick Anderson,West,High,0,,0.0,,0,0,0,,
193,Manuel Chang,North,Low,1,625.95,625.95,625.95,0,0,0,2024-07-21,2024-07-21
194,Lawrence Morales,South,Medium,0,,0.0,,0,0,2,,
195,Brittany Nelson,West,High,0,,0.0,,0,0,1,,
196,Cristina Goodwin,North,High,3,5620.52,16861.57,9020.73,3,1,1,2024-04-03,2024-11-04
197,Andrew Livingston,South,Medium,1,3457.62,3457.62,3457.62,0,0,2,2024-03-31,2024-03-31
198,Alexander Thomas,East,Low,0,,0.0,,0,0,2,,
199,Michelle Stafford,South,Low,3,5820.93,17462.78,8385.43,3,0,2,2024-05-08,2024-08-27
200,Jason Andersen,East,Low,0,,0.0,,0,0,0,,
201,Sheena Sullivan,East,Medium,1,2103.3,2103.3,2103.3,1,0,1,2024-08-23,2024-08-23
202,Sarah Yang,East,High,0,,0.0,,0,0,2,,
203,Amanda Floyd,West,Low,1,5797.25,5797.25,5797.25,0,0,0,2024-06-04,2024-06-04
204,Brandy Cortez,East,Low,0,,0.0,,0,0,2,,
205,Tina Young,West,High,1,420.03,420.03,420.03,0,0,0,2024-09-04,2024-09-04
206,Erika Lopez,East,High,0,,0.0,,0,0,3,,
207,Nathan Green,North,Medium,2,9484.7,18969.4,9851.24,2,2,0,2023-11-23,2024-02-20
208,Robert Cameron,West,High,1,4210.36,4210.36,4210.36,0,0,0,2023-12-24,2023-12-24
209,Alejandra Butler,East,Low,1,9954.31,9954.31,9954.31,0,1,0,2024-05-08,2024-05-08
210,Alexis Holt,North,Low,1,6094.4,6094.4,6094.4,1,0,2,2024-10-22,2024-10-22
211,Maria Fowler,East,High,1,1816.67,1816.67,1816.67,1,0,2,2024-08-05,2024-08-05
212,Bryan Bennett PhD,South,Medium,3,5984.65,17953.95,7575.61,1,0,0,2024-04-25,2024-09-17
213,Cameron Stafford,West,Medium,1,5013.57,5013.57,5013.57,1,0,2,2024-01-07,2024-01-07
214,Jose Gallagher,North,Low,0,,0.0,,0,0,1,,
215,Elizabeth Davies,West,High,0,,0.0,,0,0,1,,
216,Charles Martinez,North,Medium,1,8480.02,8480.02,8480.02,0,0,0,2024-02-24,2024-02-24
217,Andrew Golden,East,High,1,5426.31,5426.31,5426.31,1,0,1,2024-10-17,2024-10-17
218,Molly Thomas,East,Low,1,1946.99,1946.99,1946.99,0,0,0,2024-07-26,2024-07-26
219,Amber Schwartz,North,Low,0,,0.0,,0,0,1,,
220,Edward Powers,West,High,3,6318.28,18954.83,8740.75,0,0,2,2024-04-23,2024-09-21
221,Christopher Johnson,West,Medium,0,,0.0,,0,0,3,,
222,John Ware,East,Low,1,9964.43,9964.43,9964.43,0,1,2,2024-04-10,2024-04-10
223,Dawn Wilson,North,High,1,6647.48,6647.48,6647.48,1,0,1,2024-03-15,2024-03-15
224,Jonathan Collins,North,High,1,6821.33,6821.33,6821.33,1,0,0,2024-03-05,2024-03-05
225,Robert Ware,West,Medium,1,2861.53,2861.53,2861.53,1,0,1,2024-04-09,2024-04-09
226,Jay Hoffman,East,High,0,,0.0,,0,0,1,,
227,Julie Potts,West,Medium,1,8394.68,8394.68,8394.68,0,0,3,2024-09-14,2024-09-14
228,Andrew Krause,South,High,1,1910.4,1910.4,1910.4,0,0,3,2024-05-04,2024-05-04
229,Rick Williams,West,Low,0,,0.0,,0,0,0,,
230,Gabriela Clark,North,Low,2,6592.69,13185.39,7635.07,0,0,0,2024-04-11,2024-05-12
231,Lauren Miller,West,High,1,3729.47,3729.47,3729.47,1,0,2,2024-09-14,2024-09-14
232,Elizabeth Clark,West,High,0,,0.0,,0,0,3,,
233,Joseph Salazar,South,High,0,,0.0,,0,0,1,,
234,Daniel Ortega,East,High,1,6216.57,6216.57,6216.57,0,0,0,2024-09-14,2024-09-14
235,Tamara Garner,West,High,0,,0.0,,0,0,0,,
236,Carol Hale,South,Medium,0,,0.0,,0,0,1,,
237,Justin Curtis,South,Low,0,,0.0,,0,0,1,,
238,Ashley Rogers,East,Medium,0,,0.0,,0,0,1,,
239,Karen Rice,West,Medium,1,2630.61,2630.61,2630.61,1,0,1,2024-05-26,2024-05-26
240,Jill Harding,East,Medium,1,3740.71,3740.71,3740.71,1,0,1,2024-03-26,2024-03-26
241,Joseph Cole,West,Low,0,,0.0,,0,0,0,,
242,Patricia Carter,East,Medium,1,2209.98,2209.98,2209.98,1,0,2,2024-10-30,2024-10-30
243,Seth Anderson,East,Low,1,5006.46,5006.46,5006.46,0,0,3,2024-07-28,2024-07-28
244,Jack Barnes,South,High,1,5153.8,5153.8,5153.8,1,0,1,2024-04-27,2024-04-27
245,Christina Waters,North,Medium,2,5223.07,10446.13,5498.1,2,0,0,2024-07-07,2024-11-17
246,Stephen Vega,West,Medium,3,3808.69,11426.06,4942.58,2,0,4,2024-08-06,2024-11-05
247,Rachel Sims,North,Low,4,3236.3,12945.21,5667.24,2,0,0,2024-01-18,2024-08-09
248,Thomas Rodriguez,East,Medium,1,6183.03,6183.03,6183.03,1,0,0,2024-02-29,2024-02-29
249,Janet Anderson DDS,North,Low,3,4506.91,13520.72,6058.5,1,0,2,2023-11-28,2024-10-22
250,Ashley Gardner,West,High,1,684.09,684.09,684.09,1,0,1,2024-09-12,2024-09-12
251,Christopher Moore,West,High,1,7046.31,7046.31,7046.31,1,0,3,2024-07-06,2024-07-06
252,Sarah Odom,West,Medium,4,4382.22,17528.89,6815.88,3,0,1,2024-01-23,2024-09-06
253,Stacy Morgan,East,High,0,,0.0,,0,0,1,,
254,Abigail Herrera,West,High,1,4748.88,4748.88,4748.88,0,0,0,2024-08-08,2024-08-08
255,Cody Baker,West,Low,1,6382.82,6382.82,6382.82,1,0,1,2024-03-01,2024-03-01
256,Ariana Prince,East,Medium,1,3059.82,3059.82,3059.82,1,0,2,2024-05-27,2024-05-27
257,Stephanie Hayes,South,High,0,,0.0,,0,0,1,,
258,Crystal Lopez,West,High,0,,0.0,,0,0,0,,
259,Christopher Moore,West,High,1,5586.2,5586.2,5586.2,1,0,1,2024-08-03,2024-08-03
260,Casey Cervantes,East,High,0,,0.0,,0,0,0,,
261,Sheila Price,South,Low,0,,0.0,,0,0,0,,
262,Amanda Mcmillan,North,Medium,1,2398.96,2398.96,2398.96,1,0,1,2024-03-21,2024-03-21
263,Travis Taylor,North,Medium,1,4503.43,4503.43,4503.43,1,0,2,2024-05-29,2024-05-29
264,Haley Willis,North,Low,0,,0.0,,0,0,0,,
265,Alicia Martin,North,Medium,1,5719.56,5719.56,5719.56,0,0,1,2023-12-14,2023-12-14
266,Miss Stephanie Middleton,North,Medium,0,,0.0,,0,0,1,,
267,Kenneth King,North,Medium,2,4284.94,8569.89,5501.76,1,0,1,2024-07-11,2024-07-25
268,Ryan Fox,South,High,4,6178.97,24715.88,8579.15,1,0,0,2023-12-14,2024-08-25
269,Brandy Anderson,South,High,0,,0.0,,0,0,3,,
270,Daniel Mason,South,Low,1,9934.56,9934.56,9934.56,1,1,0,2024-09-16,2024-09-16
271,Valerie Robinson,East,Low,2,8220.72,16441.44,9895.62,1,1,0,2024-01-15,2024-04-13
272,Darryl Pearson,West,High,0,,0.0,,0,0,1,,
273,Adam Caldwell,South,Low,2,3774.58,7549.16,5524.76,0,0,0,2023-11-28,2024-10-10
274,Michael Velasquez,North,High,0,,0.0,,0,0,0,,
275,Linda Lee,West,Low,1,7354.65,7354.65,7354.65,1,0,2,2024-09-16,2024-09-16
276,Nicholas Hunt,East,Low,0,,0.0,,0,0,1,,
277,Brian Marsh,West,Medium,0,,0.0,,0,0,0,,
278,Joanna Perez,North,Low,0,,0.0,,0,0,1,,
279,Courtney Nicholson,South,High,0,,0.0,,0,0,0,,
280,Jacqueline Dennis,West,High,1,4398.44,4398.44,4398.44,0,0,1,2024-03-20,2024-03-20
281,Marissa Gilbert,South,High,0,,0.0,,0,0,2,,
282,Keith Cox,West,High,0,,0.0,,0,0,1,,
283,Kimberly Bates,North,High,0,,0.0,,0,0,0,,
284,Jennifer Coleman,East,Low,1,6981.48,6981.48,6981.48,1,0,3,2023-12-06,2023-12-06
285,Daniel Smith,South,Low,2,6987.53,13975.06,7300.91,1,0,0,2024-02-21,2024-09-29
286,Kevin Martin,West,Low,1,4247.92,4247.92,4247.92,1,0,1,2024-07-09,2024-07-09
287,Julia Cherry,South,Medium,0,,0.0,,0,0,2,,
288,Emily Aguilar,North,Low,3,5436.09,16308.27,8172.59,0,0,0,2023-11-29,2024-09-07
289,Brian Shelton,South,High,1,1075.12,1075.12,1075.12,0,0,1,2024-08-31,2024-08-31
290,Cory Thomas,North,Low,2,3803.95,7607.9,6512.11,0,0,1,2023-12-09,2024-06-23
291,Andrea Martinez,South,Low,1,5144.52,5144.52,5144.52,0,0,0,2024-02-05,2024-02-05
292,Richard Lewis,West,High,1,6766.39,6766.39,6766.39,1,0,1,2024-08-11,2024-08-11
293,Linda Jordan,West,High,0,,0.0,,0,0,2,,
294,Jill Lynch,North,High,1,8710.94,8710.94,8710.94,1,0,1,2024-09-21,2024-09-21
295,Tonya Miller,South,Low,1,7804.25,7804.25,7804.25,0,0,3,2024-06-17,2024-06-17
296,Stacy Mccoy,North,Medium,2,6997.32,13994.64,8881.09,1,0,0,2024-02-19,2024-06-29
297,Marcus Simon,East,High,0,,0.0,,0,0,0,,
298,Seth Shaw,West,High,1,7764.82,7764.82,7764.82,0,0,3,2024-09-22,2024-09-22
299,Mark Ritter,East,Low,2,7002.4,14004.81,8088.19,1,0,1,2024-02-14,2024-10-03
300,Joseph Lee,South,Low,1,3057.17,3057.17,3057.17,1,0,0,2024-02-17,2024-02-17
301,Timothy Contreras,North,Medium,4,5271.78,21087.12,9790.33,3,1,0,2024-03-07,2024-11-20
302,Catherine Cherry,North,High,0,,0.0,,0,0,0,,
303,Jeffery Tran,North,High,1,9376.8,9376.8,9376.8,1,1,1,2024-07-27,2024-07-27
304,Martin Brown,East,High,0,,0.0,,0,0,3,,
305,Bruce Ferguson III,North,Medium,0,,0.0,,0,0,0,,
306,Michele Smith,North,Low,0,,0.0,,0,0,0,,
307,Diana Alvarez,North,Medium,1,1105.99,1105.99,1105.99,1,0,1,2024-09-02,2024-09-02
308,Cynthia Phillips,East,Low,1,7711.75,7711.75,7711.75,0,0,3,2024-11-18,2024-11-18
309,Eric Howell,South,High,1,6343.65,6343.65,6343.65,1,0,4,2023-12-24,2023-12-24
