customer_id,name,region,stated_risk_level,txn_frequency,avg_txn_amount,total_txn_amount,high_risk_txn_count,large_txn_count,sanction_count,score_high_risk_txns,score_large_txns,score_sanctions,score_stated_level,composite_risk_score,computed_segment
71,John Preston,South,Medium,1,9138.89,9138.89,1,1,2,10,12,25,12,59,Medium
72,Bradley Lewis,North,Low,3,7216.26,21648.77,2,0,2,20,0,25,0,45,Medium
73,Kathleen Baker,West,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
74,Lauren Torres,South,Medium,1,4176.01,4176.01,1,0,0,10,0,0,12,22,Low
75,David Lopez,East,Low,2,4078.45,8156.89,1,0,2,10,0,25,0,35,Medium
76,Chelsea Bradley,West,Medium,1,5108.84,5108.84,1,0,1,10,0,25,12,47,Medium
77,Elizabeth Davidson,South,Low,1,6801.69,6801.69,0,0,2,0,0,25,0,25,Low
78,Michael Young,South,High,0,,0.0,0,0,0,0,0,0,25,25,Low
79,Linda Simpson,North,Medium,3,2648.34,7945.02,2,0,1,20,0,25,12,57,Medium
80,Eddie Brown,North,High,0,,0.0,0,0,0,0,0,0,25,25,Low
81,Cynthia Christensen,West,Low,2,8858.98,17717.96,1,1,1,10,12,25,0,47,Medium
82,Christine Lopez,North,Medium,1,8910.06,8910.06,1,0,2,10,0,25,12,47,Medium
83,Daniel Kim,South,Medium,1,8267.66,8267.66,0,0,1,0,0,25,12,37,Medium
84,Jennifer Hanson,East,Medium,0,,0.0,0,0,2,0,0,25,12,37,Medium
85,Randy Campbell,East,Low,1,3786.84,3786.84,1,0,2,10,0,25,0,35,Medium
86,Brandon Christensen,North,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
87,Ann Mccann,South,High,1,1529.63,1529.63,1,0,3,10,0,25,25,60,High
88,Denise Pierce,North,Low,1,4131.0,4131.0,0,0,0,0,0,0,0,0,Low
89,Christina Cross,South,Low,3,2650.59,7951.76,1,0,0,10,0,0,0,10,Low
90,Isaiah Cooper,West,High,0,,0.0,0,0,0,0,0,0,25,25,Low
91,Tina Murray,North,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
92,David Krause,West,High,0,,0.0,0,0,2,0,0,25,25,50,Medium
93,Jeff Thomas,West,Low,2,5617.35,11234.7,0,1,1,0,12,25,0,37,Medium
94,David Baker,West,Low,1,9394.08,9394.08,1,1,0,10,12,0,0,22,Low
95,Amy Bates,East,Medium,3,4953.2,14859.61,2,1,0,20,12,0,12,44,Medium
96,Tonya Harrison,North,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
97,Linda Johnson,East,High,1,224.51,224.51,0,0,2,0,0,25,25,50,Medium
98,Luis Williamson,South,Medium,0,,0.0,0,0,2,0,0,25,12,37,Medium
99,Bradley Scott,East,Medium,2,2184.34,4368.69,1,0,1,10,0,25,12,47,Medium
100,Christopher Holt,West,Low,2,5821.19,11642.39,1,0,0,10,0,0,0,10,Low
101,Kenneth Patel,South,Medium,0,,0.0,0,0,1,0,0,25,12,37,Medium
102,Emily Whitney,West,Low,2,3332.01,6664.02,2,0,0,20,0,0,0,20,Low
103,Felicia Johnson,North,High,0,,0.0,0,0,4,0,0,25,25,50,Medium
104,Stephanie Castro,East,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
105,Jennifer Williams,West,Medium,0,,0.0,0,0,1,0,0,25,12,37,Medium
106,Glenn Gill,West,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
107,Anna Sutton,East,Low,1,3894.03,3894.03,1,0,0,10,0,0,0,10,Low
108,Robert Bryant,North,High,2,8619.75,17239.49,1,1,0,10,12,0,25,47,Medium
109,Angela Garner,East,Low,1,5939.23,5939.23,0,0,0,0,0,0,0,0,Low
110,Kyle Blevins,North,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
111,Scott Allison,South,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
112,Hector Hayden,East,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
113,Steven Hansen PhD,East,Low,1,5553.1,5553.1,1,0,2,10,0,25,0,35,Medium
114,Marissa Foster,North,Medium,0,,0.0,0,0,0,0,0,0,12,12,Low
115,Amanda Webb,West,High,2,5560.06,11120.11,2,0,1,20,0,25,25,70,High
116,Christopher Turner,East,Low,0,,0.0,0,0,2,0,0,25,0,25,Low
117,Yolanda Hardy,West,High,1,1472.6,1472.6,1,0,1,10,0,25,25,60,High
118,Amanda Walker,East,Medium,1,9383.67,9383.67,0,1,0,0,12,0,12,24,Low
119,Joanna Johns,South,Medium,2,3845.29,7690.58,2,0,1,20,0,25,12,57,Medium
120,Melinda Rodriguez,East,Low,3,5988.15,17964.44,2,0,0,20,0,0,0,20,Low
121,Lance Hebert,East,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
122,Angel Harper,East,Low,1,9387.23,9387.23,1,1,0,10,12,0,0,22,Low
123,Philip Underwood,North,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
124,Marcia Fisher,East,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
125,Edwin Cabrera,East,High,0,,0.0,0,0,0,0,0,0,25,25,Low
126,Justin Bryant,West,Low,1,5438.63,5438.63,1,0,2,10,0,25,0,35,Medium
127,Gina Rios,North,Medium,2,4818.65,9637.3,1,0,0,10,0,0,12,22,Low
128,Angela Mcpherson,East,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
129,Megan Wilson,West,High,0,,0.0,0,0,2,0,0,25,25,50,Medium
130,Jesse Mckinney,East,High,2,1764.97,3529.94,2,0,1,20,0,25,25,70,High
131,Robert Rogers,West,High,0,,0.0,0,0,0,0,0,0,25,25,Low
132,Cheryl Gillespie,East,High,1,2721.97,2721.97,0,0,1,0,0,25,25,50,Medium
133,Anna Sanders MD,North,Medium,1,1808.53,1808.53,0,0,2,0,0,25,12,37,Medium
134,Michele Freeman DVM,West,High,1,3790.68,3790.68,0,0,1,0,0,25,25,50,Medium
135,Logan Wilson,West,Medium,0,,0.0,0,0,1,0,0,25,12,37,Medium
136,Raven Rogers,East,Medium,2,2750.07,5500.14,1,0,1,10,0,25,12,47,Medium
137,Christopher Jackson,West,High,1,2230.82,2230.82,1,0,2,10,0,25,25,60,High
138,Kyle Collins,East,Low,0,,0.0,0,0,2,0,0,25,0,25,Low
139,Ronald Duncan,South,Low,2,2936.72,5873.44,0,0,1,0,0,25,0,25,Low
140,Kevin Larson,West,Low,1,6809.58,6809.58,0,0,0,0,0,0,0,0,Low
141,Mary Jordan,West,Low,1,4063.65,4063.65,1,0,1,10,0,25,0,35,Medium
142,Billy Lee,North,Medium,2,3769.74,7539.48,1,0,1,10,0,25,12,47,Medium
143,Mark Taylor,East,Medium,3,8439.97,25319.9,1,2,1,10,24,25,12,71,High
144,Douglas Moss,South,High,0,,0.0,0,0,0,0,0,0,25,25,Low
145,Dylan Simpson,North,High,3,3647.17,10941.52,1,0,0,10,0,0,25,35,Medium
146,Kaitlyn Adams,South,Medium,1,1571.33,1571.33,1,0,3,10,0,25,12,47,Medium
147,Amanda Gill,South,Low,1,9322.58,9322.58,1,1,0,10,12,0,0,22,Low
148,Susan Martin,East,Medium,0,,0.0,0,0,1,0,0,25,12,37,Medium
149,Timothy Fox,South,Low,2,5297.61,10595.22,2,1,2,20,12,25,0,57,Medium
150,Benjamin Robinson DVM,East,Medium,1,9183.25,9183.25,1,1,2,10,12,25,12,59,Medium
151,Cory Collins,East,High,2,4905.84,9811.67,2,1,3,20,12,25,25,82,High
152,Robert Jackson,North,High,1,582.94,582.94,0,0,0,0,0,0,25,25,Low
153,Karen Yang,West,Low,3,7540.15,22620.44,2,1,1,20,12,25,0,57,Medium
154,Nancy Flowers,North,Medium,1,9308.24,9308.24,1,1,1,10,12,25,12,59,Medium
155,Christopher Anderson,North,Low,2,4764.46,9528.92,1,0,1,10,0,25,0,35,Medium
156,Steven Hunt,North,Medium,2,997.3,1994.61,1,0,1,10,0,25,12,47,Medium
157,Dr. John Gonzalez Jr.,North,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
158,Shannon Allen,North,Low,2,6393.84,12787.68,1,0,0,10,0,0,0,10,Low
159,Jeffrey Lawson,East,High,1,9831.19,9831.19,0,1,0,0,12,0,25,37,Medium
160,Sylvia Hess DVM,East,Low,3,5505.93,16517.8,3,0,2,25,0,25,0,50,Medium
161,Timothy Moore,South,Medium,1,7020.76,7020.76,1,0,3,10,0,25,12,47,Medium
162,Bryan Galloway,East,Medium,2,7557.1,15114.21,1,0,3,10,0,25,12,47,Medium
163,Gina Wallace,North,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
164,Scott Fernandez,West,Low,1,9203.33,9203.33,0,1,0,0,12,0,0,12,Low
165,Dawn Alexander,East,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
166,Maria Griffith,West,High,0,,0.0,0,0,0,0,0,0,25,25,Low
167,Joshua Wolf,North,Low,2,4364.52,8729.05,2,0,0,20,0,0,0,20,Low
168,Christina Miller,North,Medium,0,,0.0,0,0,0,0,0,0,12,12,Low
169,Nathan Velasquez,East,Medium,3,4259.86,12779.59,2,0,2,20,0,25,12,57,Medium
170,Michelle Alvarado,North,Low,1,2084.02,2084.02,0,0,0,0,0,0,0,0,Low
171,Alice Whitney,North,Low,1,3579.57,3579.57,0,0,1,0,0,25,0,25,Low
172,Michael Kelly,North,High,0,,0.0,0,0,0,0,0,0,25,25,Low
173,Debbie Clay,North,High,1,9735.81,9735.81,0,1,0,0,12,0,25,37,Medium
174,Anthony Taylor,South,Medium,2,5421.22,10842.44,2,0,0,20,0,0,12,32,Medium
175,Anthony Gonzales,South,Low,3,2710.72,8132.17,1,0,4,10,0,25,0,35,Medium
176,Julie Walker,West,High,2,4309.09,8618.18,2,0,0,20,0,0,25,45,Medium
177,Kimberly Martin,South,Low,2,6886.9,13773.79,1,0,1,10,0,25,0,35,Medium
178,Tamara Castro,North,High,3,1987.24,5961.71,1,0,2,10,0,25,25,60,High
179,John Bell,South,High,0,,0.0,0,0,0,0,0,0,25,25,Low
180,Jeffrey Kemp,North,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
181,Jacob Patton,East,Low,0,,0.0,0,0,3,0,0,25,0,25,Low
182,Vickie Scott,North,Low,1,3084.57,3084.57,1,0,1,10,0,25,0,35,Medium
183,Daisy Miranda,South,Low,0,,0.0,0,0,2,0,0,25,0,25,Low
184,John Keller,West,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
185,Ashley Bauer,North,High,2,3171.24,6342.49,1,0,0,10,0,0,25,35,Medium
186,Sandra Fleming,South,Medium,0,,0.0,0,0,1,0,0,25,12,37,Medium
187,Linda Robinson,West,High,2,5788.55,11577.09,2,0,0,20,0,0,25,45,Medium
188,Michelle Stone,West,High,0,,0.0,0,0,0,0,0,0,25,25,Low
189,Donna Hicks,East,High,1,3272.73,3272.73,1,0,0,10,0,0,25,35,Medium
190,Gina Lopez,West,High,2,1698.87,3397.73,2,0,1,20,0,25,25,70,High
191,Mr. Justin Taylor,South,High,1,5402.23,5402.23,0,0,1,0,0,25,25,50,Medium
192,Derrick Anderson,West,High,0,,0.0,0,0,0,0,0,0,25,25,Low
193,Manuel Chang,North,Low,1,625.95,625.95,0,0,0,0,0,0,0,0,Low
194,Lawrence Morales,South,Medium,0,,0.0,0,0,2,0,0,25,12,37,Medium
195,Brittany Nelson,West,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
196,Cristina Goodwin,North,High,3,5620.52,16861.57,3,1,1,25,12,25,25,87,High
197,Andrew Livingston,South,Medium,1,3457.62,3457.62,0,0,2,0,0,25,12,37,Medium
198,Alexander Thomas,East,Low,0,,0.0,0,0,2,0,0,25,0,25,Low
199,Michelle Stafford,South,Low,3,5820.93,17462.78,3,0,2,25,0,25,0,50,Medium
200,Jason Andersen,East,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
201,Sheena Sullivan,East,Medium,1,2103.3,2103.3,1,0,1,10,0,25,12,47,Medium
202,Sarah Yang,East,High,0,,0.0,0,0,2,0,0,25,25,50,Medium
203,Amanda Floyd,West,Low,1,5797.25,5797.25,0,0,0,0,0,0,0,0,Low
204,Brandy Cortez,East,Low,0,,0.0,0,0,2,0,0,25,0,25,Low
205,Tina Young,West,High,1,420.03,420.03,0,0,0,0,0,0,25,25,Low
206,Erika Lopez,East,High,0,,0.0,0,0,3,0,0,25,25,50,Medium
207,Nathan Green,North,Medium,2,9484.7,18969.4,2,2,0,20,24,0,12,56,Medium
208,Robert Cameron,West,High,1,4210.36,4210.36,0,0,0,0,0,0,25,25,Low
209,Alejandra Butler,East,Low,1,9954.31,9954.31,0,1,0,0,12,0,0,12,Low
210,Alexis Holt,North,Low,1,6094.4,6094.4,1,0,2,10,0,25,0,35,Medium
211,Maria Fowler,East,High,1,1816.67,1816.67,1,0,2,10,0,25,25,60,High
212,Bryan Bennett PhD,South,Medium,3,5984.65,17953.95,1,0,0,10,0,0,12,22,Low
213,Cameron Stafford,West,Medium,1,5013.57,5013.57,1,0,2,10,0,25,12,47,Medium
214,Jose Gallagher,North,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
215,Elizabeth Davies,West,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
216,Charles Martinez,North,Medium,1,8480.02,8480.02,0,0,0,0,0,0,12,12,Low
217,Andrew Golden,East,High,1,5426.31,5426.31,1,0,1,10,0,25,25,60,High
218,Molly Thomas,East,Low,1,1946.99,1946.99,0,0,0,0,0,0,0,0,Low
219,Amber Schwartz,North,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
220,Edward Powers,West,High,3,6318.28,18954.83,0,0,2,0,0,25,25,50,Medium
221,Christopher Johnson,West,Medium,0,,0.0,0,0,3,0,0,25,12,37,Medium
222,John Ware,East,Low,1,9964.43,9964.43,0,1,2,0,12,25,0,37,Medium
223,Dawn Wilson,North,High,1,6647.48,6647.48,1,0,1,10,0,25,25,60,High
224,Jonathan Collins,North,High,1,6821.33,6821.33,1,0,0,10,0,0,25,35,Medium
225,Robert Ware,West,Medium,1,2861.53,2861.53,1,0,1,10,0,25,12,47,Medium
226,Jay Hoffman,East,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
227,Julie Potts,West,Medium,1,8394.68,8394.68,0,0,3,0,0,25,12,37,Medium
228,Andrew Krause,South,High,1,1910.4,1910.4,0,0,3,0,0,25,25,50,Medium
229,Rick Williams,West,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
230,Gabriela Clark,North,Low,2,6592.69,13185.39,0,0,0,0,0,0,0,0,Low
231,Lauren Miller,West,High,1,3729.47,3729.47,1,0,2,10,0,25,25,60,High
232,Elizabeth Clark,West,High,0,,0.0,0,0,3,0,0,25,25,50,Medium
233,Joseph Salazar,South,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
234,Daniel Ortega,East,High,1,6216.57,6216.57,0,0,0,0,0,0,25,25,Low
235,Tamara Garner,West,High,0,,0.0,0,0,0,0,0,0,25,25,Low
236,Carol Hale,South,Medium,0,,0.0,0,0,1,0,0,25,12,37,Medium
237,Justin Curtis,South,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
238,Ashley Rogers,East,Medium,0,,0.0,0,0,1,0,0,25,12,37,Medium
239,Karen Rice,West,Medium,1,2630.61,2630.61,1,0,1,10,0,25,12,47,Medium
240,Jill Harding,East,Medium,1,3740.71,3740.71,1,0,1,10,0,25,12,47,Medium
241,Joseph Cole,West,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
242,Patricia Carter,East,Medium,1,2209.98,2209.98,1,0,2,10,0,25,12,47,Medium
243,Seth Anderson,East,Low,1,5006.46,5006.46,0,0,3,0,0,25,0,25,Low
244,Jack Barnes,South,High,1,5153.8,5153.8,1,0,1,10,0,25,25,60,High
245,Christina Waters,North,Medium,2,5223.07,10446.13,2,0,0,20,0,0,12,32,Medium
246,Stephen Vega,West,Medium,3,3808.69,11426.06,2,0,4,20,0,25,12,57,Medium
247,Rachel Sims,North,Low,4,3236.3,12945.21,2,0,0,20,0,0,0,20,Low
248,Thomas Rodriguez,East,Medium,1,6183.03,6183.03,1,0,0,10,0,0,12,22,Low
249,Janet Anderson DDS,North,Low,3,4506.91,13520.72,1,0,2,10,0,25,0,35,Medium
250,Ashley Gardner,West,High,1,684.09,684.09,1,0,1,10,0,25,25,60,High
251,Christopher Moore,West,High,1,7046.31,7046.31,1,0,3,10,0,25,25,60,High
252,Sarah Odom,West,Medium,4,4382.22,17528.89,3,0,1,25,0,25,12,62,High
253,Stacy Morgan,East,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
254,Abigail Herrera,West,High,1,4748.88,4748.88,0,0,0,0,0,0,25,25,Low
255,Cody Baker,West,Low,1,6382.82,6382.82,1,0,1,10,0,25,0,35,Medium
256,Ariana Prince,East,Medium,1,3059.82,3059.82,1,0,2,10,0,25,12,47,Medium
257,Stephanie Hayes,South,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
258,Crystal Lopez,West,High,0,,0.0,0,0,0,0,0,0,25,25,Low
259,Christopher Moore,West,High,1,5586.2,5586.2,1,0,1,10,0,25,25,60,High
260,Casey Cervantes,East,High,0,,0.0,0,0,0,0,0,0,25,25,Low
261,Sheila Price,South,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
262,Amanda Mcmillan,North,Medium,1,2398.96,2398.96,1,0,1,10,0,25,12,47,Medium
263,Travis Taylor,North,Medium,1,4503.43,4503.43,1,0,2,10,0,25,12,47,Medium
264,Haley Willis,North,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
265,Alicia Martin,North,Medium,1,5719.56,5719.56,0,0,1,0,0,25,12,37,Medium
266,Miss Stephanie Middleton,North,Medium,0,,0.0,0,0,1,0,0,25,12,37,Medium
267,Kenneth King,North,Medium,2,4284.94,8569.89,1,0,1,10,0,25,12,47,Medium
268,Ryan Fox,South,High,4,6178.97,24715.88,1,0,0,10,0,0,25,35,Medium
269,Brandy Anderson,South,High,0,,0.0,0,0,3,0,0,25,25,50,Medium
270,Daniel Mason,South,Low,1,9934.56,9934.56,1,1,0,10,12,0,0,22,Low
271,Valerie Robinson,East,Low,2,8220.72,16441.44,1,1,0,10,12,0,0,22,Low
272,Darryl Pearson,West,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
273,Adam Caldwell,South,Low,2,3774.58,7549.16,0,0,0,0,0,0,0,0,Low
274,Michael Velasquez,North,High,0,,0.0,0,0,0,0,0,0,25,25,Low
275,Linda Lee,West,Low,1,7354.65,7354.65,1,0,2,10,0,25,0,35,Medium
276,Nicholas Hunt,East,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
277,Brian Marsh,West,Medium,0,,0.0,0,0,0,0,0,0,12,12,Low
278,Joanna Perez,North,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
279,Courtney Nicholson,South,High,0,,0.0,0,0,0,0,0,0,25,25,Low
280,Jacqueline Dennis,West,High,1,4398.44,4398.44,0,0,1,0,0,25,25,50,Medium
281,Marissa Gilbert,South,High,0,,0.0,0,0,2,0,0,25,25,50,Medium
282,Keith Cox,West,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
283,Kimberly Bates,North,High,0,,0.0,0,0,0,0,0,0,25,25,Low
284,Jennifer Coleman,East,Low,1,6981.48,6981.48,1,0,3,10,0,25,0,35,Medium
285,Daniel Smith,South,Low,2,6987.53,13975.06,1,0,0,10,0,0,0,10,Low
286,Kevin Martin,West,Low,1,4247.92,4247.92,1,0,1,10,0,25,0,35,Medium
287,Julia Cherry,South,Medium,0,,0.0,0,0,2,0,0,25,12,37,Medium
288,Emily Aguilar,North,Low,3,5436.09,16308.27,0,0,0,0,0,0,0,0,Low
289,Brian Shelton,South,High,1,1075.12,1075.12,0,0,1,0,0,25,25,50,Medium
290,Cory Thomas,North,Low,2,3803.95,7607.9,0,0,1,0,0,25,0,25,Low
291,Andrea Martinez,South,Low,1,5144.52,5144.52,0,0,0,0,0,0,0,0,Low
292,Richard Lewis,West,High,1,6766.39,6766.39,1,0,1,10,0,25,25,60,High
293,Linda Jordan,West,High,0,,0.0,0,0,2,0,0,25,25,50,Medium
294,Jill Lynch,North,High,1,8710.94,8710.94,1,0,1,10,0,25,25,60,High
295,Tonya Miller,South,Low,1,7804.25,7804.25,0,0,3,0,0,25,0,25,Low
296,Stacy Mccoy,North,Medium,2,6997.32,13994.64,1,0,0,10,0,0,12,22,Low
297,Marcus Simon,East,High,0,,0.0,0,0,0,0,0,0,25,25,Low
298,Seth Shaw,West,High,1,7764.82,7764.82,0,0,3,0,0,25,25,50,Medium
299,Mark Ritter,East,Low,2,7002.4,14004.81,1,0,1,10,0,25,0,35,Medium
300,Joseph Lee,South,Low,1,3057.17,3057.17,1,0,0,10,0,0,0,10,Low
301,Timothy Contreras,North,Medium,4,5271.78,21087.12,3,1,0,25,12,0,12,49,Medium
302,Catherine Cherry,North,High,0,,0.0,0,0,0,0,0,0,25,25,Low
303,Jeffery Tran,North,High,1,9376.8,9376.8,1,1,1,10,12,25,25,72,High
304,Martin Brown,East,High,0,,0.0,0,0,3,0,0,25,25,50,Medium
305,Bruce Ferguson III,North,Medium,0,,0.0,0,0,0,0,0,0,12,12,Low
306,Michele Smith,North,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
